ZIP,People with at least one vaccine dose,People with completed vaccine series,People with up-to-date vaccines,reportedDate
56117,210,201,53,9/14/2022
56347,3617,3403,1176,9/14/2022
55815,36,34,20,9/14/2022
56594,206,190,50,9/14/2022
55367,508,482,157,9/14/2022
55458,201,190,94,9/14/2022
56375,391,378,121,9/14/2022
55355,5371,5176,2022,9/14/2022
55114,3931,3547,2024,9/14/2022
56134,196,180,57,9/14/2022
56639,225,218,96,9/14/2022
56044,1195,1152,418,9/14/2022
55769,1286,1228,435,9/14/2022
55702,332,314,137,9/14/2022
56722,210,200,65,9/14/2022
55731,4250,4076,2136,9/14/2022
56711,65,61,18,9/14/2022
56145,283,273,80,9/14/2022
55165,<= 5,<= 5,<= 5,9/14/2022
55313,13858,13165,5243,9/14/2022
56333,38,32,14,9/14/2022
56020,70,70,28,9/14/2022
